,title,price,pid,cat1,cat2,cat3,cat4
0,클립 선풍기 미니 선풍기 휴대용 선풍기 usb 선풍기 핸디 선풍기 5핀충전,5850,82497194884,디지털/가전,계절가전,선풍기,휴대용선풍기
1,(사은품 KF94마스크10매)<b>카카오프렌즈 골프</b> 마스크 2+1 구매 이벤트 라이언 블랙 어피치 화이트,9900,27546361030,생활/건강,건강관리용품,먼지차단마스크,
2,(사은품 KF94마스크10매)<b>카카오프렌즈 골프</b> 마스크 2+1 구매 이벤트 라이언 블랙 어피치 화이트,9900,83118550117,생활/건강,건강관리용품,먼지차단마스크,
3,(총 2장 구매시 +1장 무료(랜덤발송) 이벤트)<b>카카오프렌즈 골프</b> 마스크 라이언 블랙 어피치 화이트,9900,82823526155,생활/건강,건강관리용품,먼지차단마스크,
4,<b>카카오프렌즈골프</b> 마스크 (2+1이벤트) 2개 구매시마다 배송시 1개씩 자동 추가발송 (랜덤),9900,27224642701,생활/건강,건강관리용품,먼지차단마스크,
5,<b>카카오프렌즈 골프</b> 마스크 2+1행사,9900,83139167504,생활/건강,건강관리용품,먼지차단마스크,
6,<b>카카오프렌즈 골프</b> 마스크 (4+2이벤트) 4개 구매시마다 배송시 2개씩 추가발송 (랜덤),9900,27215209049,생활/건강,건강관리용품,먼지차단마스크,
7,유랑스 <b>카카오프렌즈 골프</b> 마스크,12000,27346815052,생활/건강,건강관리용품,먼지차단마스크,
8,유랑스 2+1 <b>카카오프렌즈 골프</b> 마스크 (2개구매시마다 1개추가발송),12000,27346815055,생활/건강,건강관리용품,먼지차단마스크,
9,[NEXT-M]<b>카카오프렌즈 골프</b> 마스크 세탁 30회 다회용마스크,12900,82826410440,생활/건강,건강관리용품,먼지차단마스크,
10,어피치 <b>카카오프렌즈</b>마스크 <b>골프</b> 보험 연예인 세탁,13050,26883921406,생활/건강,건강관리용품,먼지차단마스크,
11,라이언(컬러) <b>카카오프렌즈 골프</b>마스크 다회용 보험,13050,26883864380,생활/건강,건강관리용품,먼지차단마스크,
12,<b>카카오프렌즈골프</b> 마스크 세탁가능 향균 마스크보험,13120,26935471154,생활/건강,건강관리용품,먼지차단마스크,
13,세탁가능 <b>카카오프렌즈골프</b> 마스크 향균 어피치 라이언 연예인착용 마스크보험 넥스트엠 패션 - 사은품 공병증정,13200,26935426404,생활/건강,건강관리용품,먼지차단마스크,
14,카카오프렌즈 마스크 라이언 컬러 블랙 L - 세탁가능 <b>카카오프렌즈골프</b> 마스크 향균 어피치 라이언 연예인착용 마스크보험 넥스트엠 패션,13200,26946946853,생활/건강,건강관리용품,먼지차단마스크,
15,NEXT-M <b>카카오프렌즈 골프</b> 마스크 세탁 30회 다회용마스크 (6395452),13650,28409654443,생활/건강,건강관리용품,먼지차단마스크,
16,1300K 천삼백케이 [유랑스] 2+1 <b>카카오프렌즈 골프</b> 마스크 2개구매시마다 1개추가발송 - No.1 디자인 쇼핑몰,13800,27376965076,생활/건강,건강관리용품,먼지차단마스크,
17,1300K 천삼백케이 [유랑스] <b>카카오프렌즈 골프</b> 마스크 - No.1 디자인 쇼핑몰,13800,27377075600,생활/건강,건강관리용품,먼지차단마스크,
18,[NEXT-M]<b>카카오프렌즈 골프</b> 마스크 세탁 30회 다회용마스크,13860,25294972326,생활/건강,건강관리용품,먼지차단마스크,
19,[NEXT-M]<b>카카오프렌즈 골프</b> 마스크 세탁 30회 다회용마스크,13860,25295068476,생활/건강,건강관리용품,먼지차단마스크,
20,[NEXT-M]<b>카카오프렌즈 골프</b> 마스크 세탁 30회 다회용마스크 (6395452),13940,25283859702,생활/건강,건강관리용품,먼지차단마스크,
21,[NEXT-M]<b>카카오프렌즈 골프</b> 마스크 세탁 30회 다회용마스크 (6395452) (6395452),14400,28482685585,생활/건강,건강관리용품,먼지차단마스크,
22,칼렛바이오 NEXT-M <b>카카오프렌즈 골프</b> 마스크 세탁 30회 다회용마스크 (639545,14410,28481143002,생활/건강,건강관리용품,먼지차단마스크,
23,[NEXT-M]<b>카카오프렌즈 골프</b> 마스크 세탁 30회 다회용,14550,25283382382,생활/건강,건강관리용품,먼지차단마스크,
24,[칼렛바이오][NEXT-M]<b>카카오프렌즈 골프</b> 마스크 세탁 30회 다회용마스크 (6395452),14560,28422004988,생활/건강,건강관리용품,먼지차단마스크,
25,NEXT-M <b>카카오프렌즈 골프</b> 마스크 세탁 30회 다회용마스크 (6395452),14850,28403615634,생활/건강,건강관리용품,먼지차단마스크,
26,어피치 블랙 L - <b>카카오프렌즈 골프</b>마스크,15000,27045741972,생활/건강,건강관리용품,먼지차단마스크,
27,칼렛바이오/NEXT-M<b>카카오프렌즈 골프</b> 마스크 세탁 30회 다회용마스크 (6395452),15000,28400265997,생활/건강,건강관리용품,먼지차단마스크,
28,빨아쓰는 <b>카카오프렌즈골프</b>마스크 라이언 어피치 연예인 마스크 보험 패션 어린이,15000,83085589882,생활/건강,건강관리용품,먼지차단마스크,
29,1300k 유랑스 <b>카카오프렌즈 골프</b> 마스크,15000,27479449677,생활/건강,건강관리용품,먼지차단마스크,
30,라이언 블랙 L - <b>카카오프렌즈 골프</b>마스크,15000,27045380992,생활/건강,건강관리용품,먼지차단마스크,
31,[1300K] <b>카카오프렌즈 골프</b> 마스크,15000,83162794509,생활/건강,건강관리용품,먼지차단마스크,
32,[천삼백케이] [유랑스] 2+1 <b>카카오프렌즈 골프</b> 마스크 (2개구매시마다 1개추가발송),15000,27376298738,생활/건강,건강관리용품,먼지차단마스크,
33,[NEXT-M]<b>카카오프렌즈 골프</b> 마스크 세탁 30회 다회용마스크,15000,28388214214,생활/건강,건강관리용품,먼지차단마스크,
34,[1300K] 2+1 <b>카카오프렌즈 골프</b> 마스크 (2개구매시마다 1개추가발송),15000,83162794499,생활/건강,건강관리용품,먼지차단마스크,
35,<b>카카오프렌즈 골프</b>마스크,15000,25290239559,생활/건강,건강관리용품,먼지차단마스크,
36,라이언흑백 블랙 L - <b>카카오프렌즈 골프</b>마스크,15000,27045726289,생활/건강,건강관리용품,먼지차단마스크,
37,<b>카카오프렌즈 골프</b>마스크,15000,25526509106,생활/건강,건강관리용품,먼지차단마스크,
38,<b>카카오프렌즈 골프</b>마스크,15000,25289980575,생활/건강,건강관리용품,먼지차단마스크,
39,라이언(컬러) <b>카카오프렌즈 골프</b>마스크 다회용 보험,15000,26883953430,생활/건강,건강관리용품,먼지차단마스크,
40,1300k 유랑스 2+1 <b>카카오프렌즈 골프</b> 마스크 (2개구매시마다 1개추가발송),15000,27479452960,생활/건강,건강관리용품,먼지차단마스크,
41,<b>카카오프렌즈 골프</b>마스크,15000,82920205217,생활/건강,공구,안전용품,마스크
42,<b>카카오프렌즈 골프</b>마스크,15000,82848357775,생활/건강,공구,안전용품,마스크
43,<b>골프</b>아미 굿앤모어 <b>카카오프렌즈</b> A5 인덱스 유선노트 어피치,4480,23599710287,생활/건강,문구/사무용품,노트/수첩,노트
44,<b>골프</b>아미 굿앤모어 <b>카카오 프렌즈</b> 인덱스 스프링 노트 1개,5770,24972464084,생활/건강,문구/사무용품,노트/수첩,노트
45,(칼렛바이오)(NEXT-M)<b>카카오프렌즈 골프</b> 마스크 세탁 30회 다회용마스크 (6395452),15000,28544984513,생활/건강,생활용품,보안용품,도어락/안전고리
46,<b>카카오프렌즈</b> 라이언 샤워가운 <b>골프</b>샤워가운,26500,83391183864,생활/건강,욕실용품,샤워/목욕용품,샤워가운
47,카카오프렌즈 엘지생활건강 <b>카카오프렌즈 골프</b>트레블 샤워키트,8500,21733056471,생활/건강,욕실용품,욕실잡화,여행용세트
48,<b>카카오프렌즈 골프</b>공 R3 기프트 에디션 골프볼 6알 세트,22000,83400993365,스포츠/레저,골프,골프공,
49,<b>카카오프렌즈 골프</b>공 R3 기프트 에디션 골프볼 12알 세트,32000,83400991747,스포츠/레저,골프,골프공,
50,<b>카카오프렌즈 골프</b>공 R3 프렌즈 에디션 골프볼 12알 세트,34000,83400988860,스포츠/레저,골프,골프공,
51,카카오 <b>골프</b>공 <b>카카오프렌즈</b> R3 프렌즈 에디션 12구+볼파우치+추석 선물용 포장박스 세트,49700,83397840638,스포츠/레저,골프,골프공,
